id	k	c	t1	t2	j	p	a	s	z	v	n	m	b	o
1326	3	1			Soňa	Michálková	54	F	fyzioterapeut	752	752	0	Tábor	34119
1435	3	1	Mgr.		Eliška	Hartlová	69	F	sociálně právní poradenství	759	759	0	České Budějovice	94229
1265	3	1	Mgr.		Marek	Adam	36	M	učitel gymnázia, 1. místopředseda ANS	762	762	0	Tábor	34119
1282	3	1	Mgr.		Richard	Brabec	55	M	ministr	768	768	0	Malíč	186
1276	3	1			Jaroslav	Kugler	29	M	generální ředitel železniční, autobusové a poštovní společnosti	1007	1007	0	Chotoviny	1783
1310	3	1	MUDr.		Iveta	Štefanová	37	F	lékařka	1114	1114	0	Prachatice	10706
1196	3	1	Ing.		Libuše Eva	Hulcová	53	F	podnikatelka, majitelka kočičí kavárny v Písku, předsedkyně spolku Písecké kočky	1173	1173	0	Borek	1603
1170	3	1	Mgr.		Libor	Vondráček	27	M	předseda Svobodných, právník - ústavní právo	1227	1227	0	Jindřichův Hradec	21169
1213	3	1			Ladislav	Vrabel	44	M	podnikatel	1244	1244	0	České Budějovice	94229
1392	3	1	Bc.		Ivana	Kerlesová	43	F	jednatelka mediální agentury	1245	1245	0	České Budějovice	94229
1352	3	1	Mgr.		Klára	Kárníková	36	F	anarchokapitalistka	1250	1250	0	Dobřany	6169
1414	3	1	Ing.		Jan	Bauer	52	M	poslanec Parlamentu ČR	1327	53	0	Prachatice	10706
1409	3	1			Lukáš	Kolářík	37	M	poslanec, člen výboru pro bezpečnost a výboru pro sociální politiku, expert na dluhovou problematiku	1350	720	0	Katovice	1338
1518	4	1	Mgr.		Svatava	Štěrbová	50	F	právnička, zastupitelka města Kladruby, členka Finančního výboru Zastupitelstva Plzeňského kraje	5	5	0	Kladruby	1638
1654	4	1	MUDr. Ing.	Ph.D., MBA	Robin	Šín	39	M	lékař a vysokoškolský pedagog	7	7	0	Stříbro	7687
1619	4	1	PhDr. Ing. Mgr. et Mgr.	DBA	Jiří	Valenta	55	M	poslanec Parlamentu České republiky	47	47	0	Plzeň	175219
1618	4	1	Mgr.		Johannes Vlastimil	Ježík	51	M	středoškolský učitel	55	55	0	Plzeň	175219
1627	4	1			Věra	Soldánová	57	F	manažer prodeje	752	752	0	Chodská Lhota	401
1726	4	1			Miroslav	Kleisner	37	M	zastupitel města, asistent poslance, autor zákona proti ubytovnám	759	759	0	Holýšov	5152
1657	4	1	Mgr.		Jan	Sedláček	26	M	přírodovědec, živnostník	762	762	0	Rokycany	14313
1629	4	1	PhDr.	Ph.D., MBA	Ivana	Mádlová	55	F	ředitelka Alzheimer home	768	768	0	Plzeň	175219
1546	4	1			Miroslav	Seko	47	M	transformativní kouč, organizátor, vizionář, člen platformy SVÉPOMOC	1007	1007	0	Horní Bříza	4136
1745	4	1	Ing.		Marie	Pošarová	41	F	finanční analytička, krajská zastupitelka	1114	1114	0	Klatovy	22140
1587	4	1	Ing.	MBA	Pavel	Šrámek	56	M	ekonom a výrobce regionálních potravin, předseda ADS	1173	1173	0	Plzeň	175219
1512	4	1			Jan	Dočekal	57	M	manažer v autoprůmyslu	1227	1227	0	Praha	1335084
1678	4	1			Olga	Petrásková	62	F	inspektor	1240	1240	0	Mirošov	2274
1485	4	1			Jaroslav	Dolhý	54	M	hospodský, Chcípl PES	1244	1244	0	Babylon	327
1537	4	1	Mgr.		Nicole	Fryčová	26	F	právnička, expertka na práva lidí se zdravotním postižením, česká paralympionička	1245	1245	0	Plzeň	175219
1475	4	1	MUDr.		Tereza	Urzová	28	F	anarchokapitalistka	1250	1250	0	Praha	1335084
1583	4	1	Mgr.		Martin	Baxa	46	M	primátor města Plzně, středoškolský učitel, poslanec PS PČR	1327	53	0	Plzeň	175219
1656	4	1	Ing.		Josef	Bernard	56	M	krajský náměstek pro oblast životního prostředí, zemědělství, evropských záležitostí a regionálního rozvoje, ekonom	1350	166	0	Štěnovický Borek	614
1856	5	1	Ing.		Jitka	Nesrstová	46	F	datová analytička	5	5	0	Praha	1335084
1849	5	1	Ing.		Tomáš	Svoboda	57	M	starosta města Kynšperk nad Ohří	7	7	0	Kynšperk nad Ohří	4739
1911	5	1	Ing.		Pavel	Hojda	68	M	poradce	47	47	0	Cheb	31920
1785	5	1	Mgr.		Martin	Váňa	33	M	kartograf a archeolog	55	55	0	Chyše	608
1925	5	1	PharmDr.		Ivan	Cimprich	56	M	podnikatel - lékárník	752	752	0	Karlovy Vary	48319
1899	5	1	JUDr.		Josef	Kvasnička	71	M	pracující důchodce	759	759	0	Plesná	1969
1846	5	1		DiS.	Slavomír	Randis	43	M	učitel hudby	762	762	0	Hazlov	1532
1767	5	1	Mgr.		Jana	Mračková Vildumetzová	48	F	poslankyně Parlamentu ČR	768	768	0	Karlovy Vary	48319
1895	5	1			Alena	Flašková	40	F	na mateřské dovolené	1007	1007	0	Karlovy Vary	48319
1831	5	1			Karla	Maříková	40	F	poslankyně, zdravotní sestra	1114	1114	0	Ostrov	16491
1821	5	1			Michaela	Rojtová	32	F	OSVČ, manažerka provozu	1173	1173	0	Sokolov	22924
1763	5	1	PhDr.		Marcel	Kučera	52	M	hlasový pedagog, zastupitel obce Velký Luh	1227	1227	0	Velký Luh	163
1792	5	1	Bc.		Martin	Prokop	39	M	jednatel ve spol. Prokop nábytek a zakladatel Chcípl PES	1244	1244	0	Karlovy Vary	48319
1922	5	1		DiS.	Miroslav	Haindl	55	M	řidič	1245	1245	0	Lomnice	1358
1795	5	1			Veronika	Löbelová	29	F	anarchokapitalistka	1250	1250	0	Liberec	104261
1837	5	1	Ing.	DBA	Jan	Bureš	47	M	statutární zástupce hejtmana Karlovarského kraje, starosta města Ostrov	1327	53	0	Ostrov	16491
1805	5	1	Ing.		Petr	Třešňák	38	M	poslanec, místopředseda výboru pro zdravotnictví, jaderný inženýr	1350	720	0	Mariánské Lázně	12752
2026	6	1	PhDr.		Lenka	Simerská	45	F	socioložka, expertka na trh práce, zastupitelka	5	5	0	Litoměřice	23623
2123	6	1	PhDr. Ing.	Ph.D., MBA	Zdeněk	Matouš	57	M	starosta	7	7	0	Krupka	12547
2178	6	1		MBA	Jaroslav	Komínek	46	M	učitel odborného výcviku	47	47	0	Chomutov	48349
1959	6	1			Miloš	Kánský	57	M	obchodní zástupce	55	55	0	Cítoliby	1090
2062	6	1			Josef	Voborník	46	M	OSVČ	752	752	0	Ústí nad Labem	91982
1985	6	1			Iva	Vrbová	51	F	zdravotní sestra	759	759	0	Ústí nad Labem	91982
1962	6	1			Adam Benjamin	Bartoš	41	M	předseda Národní demokracie	762	762	0	Kadaň	18133
2124	6	1	Ing.		Andrej	Babiš	67	M	předseda vlády ČR	768	768	0	Průhonice	2902
2274	6	1	Mgr.		David	Kovář	35	M	průvodce na cestě vědomého přístupu k rodičovství, aktivní ve straně Vědomí	1007	1007	0	Mikulášovice	2111
2029	6	1			Jaroslav	Foldyna	61	M	poslanec	1114	1114	0	Děčín	47951
1994	6	1	Mgr.	MBA	Richard	Matiašek	39	M	pedagog, fotograf, zastupitel	1173	1173	0	Ústí nad Labem	91982
1974	6	1	Mgr.		Tereza	Hyťhová	26	F	poslankyně Parlamentu ČR, učitelka	1227	1227	0	Krupka	12547
2232	6	1	Ing.	MBA	Radek	Žďárecký	51	M	majitel restaurace Veranda a zakladatel Chcípl PES	1244	1244	0	Ústí nad Labem	91982
2181	6	1	Mgr.		Jaroslav	Pelc	50	M	místopředseda hnutí	1245	1245	0	Kladno	68896
2003	6	1			Anna	Honzíková	26	F	anarchokapitalistka	1250	1250	0	Česká Kamenice	5196
2224	6	1	Mgr.		Karel	Krejza	53	M	místostarosta města Litoměřice, poslanec	1327	53	0	Litoměřice	23623
2261	6	1	PhDr.	Ph.D.	Ivan	Bartoš	41	M	poslanec, předseda Výboru pro veřejnou správu a regionální rozvoj, specialista na informační technologie	1350	720	0	Praha	1335084
2411	7	1	PhDr.	Ph.D.	Jaromír	Baxa	39	M	ekonom, vysokoškolský učitel a vědecký pracovník Univerzity Karlovy, zastupitel Liberce	5	5	0	Liberec	104261
2442	7	1		MBA	Josef	Jadrný	64	M	zastupitel obce Janův Důl, podnikatel, jednatel neziskové organizace AZDE, z.s.	7	7	0	Janův Důl	170
2532	7	1	Bc.		Jan	Koros	24	M	učitel základní školy	47	47	0	Česká Lípa	37361
2375	7	1	Ing.		Jan	Konrád	41	M	bezpečnostní technik	55	55	0	Okrouhlá	557
2471	7	1	Bc.		Igor	Čech	58	M	úředník	752	752	0	Staré Město	1465
2540	7	1	MUDr.		Monika	Waksmundská	47	F	lékařka	759	759	0	Praha	1335084
2400	7	1	Mgr.	DiS.	Karel	Redlich	42	M	předseda krajského klubu ANS Liberec, tlumočník a lektor znakového jazyka	762	762	0	Semily	8311
2463	7	1	Mgr.		Jana	Pastuchová	56	F	poslankyně PS PČR, zastupitelka města Jablonec nad Nisou, zdravotnický záchranář	768	768	0	Jablonec nad Nisou	45317
2332	7	1			Petr	Machala	53	M	řemeslník stavebních činností, aktivní v občanské iniciativě Život s činnou kompetencí	1007	1007	0	Jablonec nad Nisou	45317
2520	7	1	Ing.		Radovan	Vích	56	M	poslanec, voják, plukovník v záloze	1114	1114	0	Liberec	104261
2450	7	1			Pavlína	Dohnalová	49	F	OSVČ	1173	1173	0	Benešov u Semil	846
2360	7	1	RNDr.	CSc.	Otto	Jarolímek	60	M	fyzik, vysokoškolský pedagog a podnikatel	1227	1227	0	Turnov	14391
2337	7	1	Ing.		Josef	Lank	36	M	podnikatel, člen iniciativy Chcípl PES	1244	1244	0	Liberec	104261
2448	7	1	Bc.		Jaroslava	Pauchová	30	F	sociální pracovnice v DOZP	1245	1245	0	Frýdlant	7478
2522	7	1			Jitka	Nyklová	21	F	pracovnice spolku Svobodný přístav propagující anarchokapitalismus	1250	1250	0	Kladno	68896
2460	7	1	Ing.		Petr	Beitl	54	M	poslanec Parlamentu ČR	1327	53	0	Jablonec nad Nisou	45317
2437	7	1	Mgr.		Jan	Farský	42	M	poslanec, právník, bývalý starosta města Semily	1350	166	0	Semily	8311
2650	8	1	Mgr.		Martin	Hanousek	38	M	krajinný ekolog a zastupitel Hradce Králové a Královéhradeckého kraje	5	5	0	Hradec Králové	92683
2708	8	1			Jan	Birke	52	M	starosta města Náchod, poslanec Parlamentu ČR	7	7	0	Náchod	19688
2624	8	1	JUDr. PhDr.	Ph.D.	Zdeněk	Ondráček	52	M	poslanec Parlamentu České republiky	47	47	0	Trutnov	29958
2613	8	1			Petr	Ježek	52	M	podnikatel, správce informačních technologií	55	55	0	Hradec Králové	92683
2799	8	1			Michal	Havlíček	59	M	projektový manažer	752	752	0	Hradec Králové	92683
2618	8	1			Luďka	Tomešová	52	F	ředitelka tiskárny	759	759	0	Trutnov	29958
2688	8	1			Michal	Biegl	46	M	předseda krajského klubu ALIANCE NÁRODNÍCH SIL, truhlář	762	762	0	Hradec Králové	92683
2675	8	1	Ing.		Klára	Dostálová	50	F	ministryně pro místní rozvoj	768	768	0	Hořice	8439
2766	8	1			Oldřich	Zima	60	M	projektový a obchodní manažer, člen Předsednictva hnutí CESTA	1007	1007	0	Hradec Králové	92683
2667	8	1	Ing.		Vladimíra	Lesenská	57	F	ředitelka kontaktního pracoviště Úřadu práce ČR, stavební inženýrka	1114	1114	0	Týniště nad Orlicí	6050
2710	8	1	Mgr.		Petr	Hannig	75	M	bývalý prezidentský kandidát, předseda strany	1173	1173	0	Praha	1335084
2685	8	1	MUDr.		Miroslav	Havrda	57	M	neurolog a podiatr, místopředseda strany Svobodní	1227	1227	0	Hradec Králové	92683
2607	8	1			Roman	Komeda	49	M	pokladník hospitálu Kuks	1244	1244	0	Dvůr Králové nad Labem	15471
2802	8	1			Tomáš	Jarkovský	49	M	podnikatel	1245	1245	0	Záměl	612
2656	8	1	Mgr.		Jiří	Lžičař	31	M	data scientist	1250	1250	0	Praha	1335084
2777	8	1	Mgr.		Ivan	Adamec	61	M	poslanec Parlamentu ČR, starosta města Trutnov	1327	53	0	Trutnov	29958
2574	8	1	Ing.		Martin	Jiránek	43	M	poslanec, podnikatel, marketingový specialista	1350	720	0	Trutnov	29958
2937	9	1			Tereza	Hýblová	25	F	obchodní referentka železničního dopravce, studentka právnické fakulty, zastupitelka města	5	5	0	Česká Třebová	15267
3082	9	1			Alena	Šírová	53	F	předsedkyně odborové organizace	7	7	0	Hlinsko	9602
3032	9	1	Ing.		Květa	Matušovská	37	F	poslankyně Parlamentu České republiky	47	47	0	Javorník	421
3080	9	1	Bc. et Bc.		Gabriel-Max Nathaniel	Filip Aras	35	F	hudebník, pedagog	55	55	0	Opatovice nad Labem	2643
2995	9	1			Petr	Vyoral	42	M	řidič - mechanik	83	83	0	Vanovice	535
2871	9	1			Božena	Dvořáková	61	F	pečovatelka	752	752	0	Pardubice	91755
3099	9	1	Ing.	Ph.D.	Hana	Lipovská	30	F	akademická pracovnice, členka Rady ČT	759	759	0	Blansko	20306
2971	9	1	MVDr.		Miroslav	Šafář	59	M	veterinární lékař	762	762	0	Svitavy	16601
2914	9	1	MUDr.	MHA	David	Kasal	52	M	poslanec Parlamentu České republiky, primář dětského a novorozeneckého oddělení, NPK a.s., Chrudimská nemocnice	768	768	0	Chrudim	23140
2939	9	1	Mgr.		Lenka	Zimmermannová Bolcková	41	F	oblastní manažerka finanční skupiny, OSVČ	1007	1007	0	Svitavy	16601
2940	9	1			Jaroslav	Bašta	73	M	diplomat	1114	1114	0	Praha	1335084
2890	9	1	MUDr.	Ph.D.	Vítězslav	Novohradský	62	M	lékař	1173	1173	0	Pardubice	91755
2999	9	1			Petr	Bajer	54	M	předseda Soukromníků, podnikatel, zastupitel města	1227	1227	0	Holice	6603
2994	9	1			Jindřich	Čeněk	49	M	podnikatel	1244	1244	0	Pardubice	91755
3050	9	1	Mgr.		Zdeňka	Víchová	53	F	úřednice	1245	1245	0	Litomyšl	10240
2954	9	1			Jana Isabella	Růžičková	32	F	kuchařka	1250	1250	0	Praha	1335084
2901	9	1	MgA.	Ph.D.	Pavel	Svoboda	33	M	pedagog, ředitel Komorní filharmonie Pardubice	1327	721	0	Pardubice	91755
3036	9	1	Bc.		Mikuláš	Ferjenčík	34	M	místopředseda rozpočtového výboru Poslanecké sněmovny Parlamentu ČR, lektor kroužků zábavné logiky, překladatel	1350	720	0	Praha	1335084
3378	10	1	Mgr.		Jakub	Vaníček	40	M	knihkupec, redaktor	5	5	0	Modlíkov	154
3309	10	1	MUDr.		Jiří	Běhounek	69	M	lékař, poslanec	7	7	0	Pelhřimov	16012
3356	10	1			Josef	Zahradníček	64	M	zastupitel Kraje Vysočina	47	47	0	Studenec	591
3409	10	1			Jindřich	Holub	53	M	OSVČ	55	55	0	Pohleď	68
3150	10	1	Ing.		Aleš	Sekanina	58	M	elektrotechnik	83	83	0	Bučovice	6491
3415	10	1	Mgr.		Jana	Svobodová	47	F	učitelka	752	752	0	Kyjov	11105
3315	10	1	Mgr.		Luděk	Růžička	49	M	advokát, soukromý zemědělec	759	759	0	Jaroměřice nad Rokytnou	4140
3288	10	1			Zdeněk	Kocman	49	M	předseda krajského klubu ALIANCE NÁRODNÍCH SIL, realitní makléř	762	762	0	Česká Třebová	15267
3165	10	1	Ing.		Drahoslav	Ryba	58	M	bývalý generální ředitel Hasičského záchranného sboru ČR	768	768	0	Radostín nad Oslavou	935
3420	10	1			Zdeněk	Sedláček	50	M	OSVČ, osvěta proti nastupující totalitě	1007	1007	0	Budišov	1205
3313	10	1			Radek	Koten	56	M	poslanec, předseda výboru pro bezpečnost	1114	1114	0	Vojnův Městec	775
3406	10	1	Ing.		Josef	Pelikán	45	M	stavební inženýr	1173	1173	0	Přibyslav	3989
3125	10	1			Zdeněk	Kučírek	66	M	důchodce	1190	1190	0	Jihlava	51125
3373	10	1			Jan	Tesař	43	M	obchodník s kávou a kávovary, místopředseda Trikolory	1227	1227	0	Jihlava	51125
3321	10	1	Ing.		Petr	Denk	45	M	projektový specialista, šachista	1244	1244	0	Polná	5201
3163	10	1	Ing.		Karolína	Kubisková	36	F	podnikatelka	1245	1245	0	Kamenice nad Lipou	3742
3149	10	1			Radka	Mužíková	36	F	anarchokapitalistka	1250	1250	0	Květnice	1802
3394	10	1	MUDr.		Vít	Kaňkovský	51	M	ortoped, poslanec	1327	1	0	Třešť	5682
3354	10	1	Bc.		Blanka	Lednická	40	F	podnikatelka v oboru Genealogie, zastupitelka Kraje Vysočina, předsedkyně komise pro životní prostředí	1350	720	0	Olešná	380
3726	11	1	Mgr.		Matouš	Vencálek	32	M	religionista, publicista, spolupředseda Zelených v Jihomoravském kraji	5	5	0	Brno	382405
3601	11	1	Bc.	MBA	Roman	Onderka	55	M	poslanec PSP ČR	7	7	0	Brno	382405
3755	11	1	Mgr.		Ivo	Pojezný	60	M	poslanec Parlamentu České republiky	47	47	0	Kyjov	11105
3475	11	1			Jiří	Novotný	44	M	člen iniciativy Morava1918, soukromý zemědělec	55	55	0	Bohdalice-Pavlovice	872
3526	11	1	Bc.		Martin	Tománek	32	M	pedagog	74	74	0	Brno	382405
3479	11	1	Ing.		Jakub	Valášek	33	M	hlavní ekonom	83	83	0	Hodonín	24385
3920	11	1	Ing.		Peter	Kvanďúch	55	M	obchodní manažer	752	752	0	Kyjov	11105
3863	11	1			Ilona	Csáková	51	F	zpěvačka	759	759	0	Praha	1335084
4002	11	1	prim. MUDr.	Ph.D., MBA	Vladimír	Kotek	61	M	lékař	762	762	0	Brno	382405
3707	11	1	JUDr.	Ph.D.	Alena	Schillerová	57	F	ministryně financí, místopředsedkyně vlády ČR	768	768	0	Brno	382405
3671	11	1	MUDr.		Andrea	Málková	52	F	praktická lékařka, celostní medicína	1007	1007	0	Kanice	1056
3589	11	1	PhDr. Ing. Mgr.	MBA, LL.M.	Jan	Hrnčíř	44	M	poslanec, vysokoškolský pedagog	1114	1114	0	Blansko	20306
3470	11	1	doc. MUDr.	CSc. FRCS(T)	Petr	Svoboda	71	M	lékař, vědecký pracovník	1173	1173	0	Brno	382405
3967	11	1	Mgr.	Ph.D.	Ondřej	Hýsek	41	M	zástupce ředitele gymnázia	1190	1190	0	Brno	382405
3808	11	1	Mgr. et Mgr.		David	Hanák	49	M	obchodní ředitel	1227	1227	0	Brno	382405
3907	11	1	prof. MUDr.	CSc.	Miloš	Janeček	70	M	univerzitní profesor - lékař	1240	1240	0	Česká	1015
3940	11	1			Jiří	Hanuš	42	M	podnikatel	1244	1244	0	Břeclav	24554
3993	11	1	Mgr.		Róbert	Šlachta	50	M	předseda politického hnutí PŘÍSAHA - občanské hnutí Roberta Šlachty	1245	1245	0	Pohořelice	5251
3628	11	1			Rosalie	Stříbrná	28	F	anarchokapitalistka	1250	1250	0	Kladno	68896
3818	11	1	prof. PhDr.	Ph.D., LL.M.	Petr	Fiala	57	M	předseda ODS, vysokoškolský učitel, emeritní rektor Masarykovy univerzity	1327	53	0	Brno	382405
3434	11	1	Mgr.		Radek	Holomčík	36	M	poslanec PČR, místopředseda zemědělského výboru, člen volebního výboru	1350	720	0	Strážnice	5467
4364	12	1	Mgr.		Hana	Vacková	67	F	učitelka na gymnáziu, krajská zastupitelka	5	5	0	Olomouc	100514
4099	12	1			Ladislav	Hynek	53	M	místostarosta města Kostelec na Hané	7	7	0	Kostelec na Hané	2897
4059	12	1		BBA	Ludvík	Šulda	42	M	předseda Okresního výboru Komunistické strany Čech a Moravy Prostějov, analytik, místopředseda spolku Zámek Ptení z.s.	47	47	0	Seloutky	534
4138	12	1	MUDr.		Pavel	Andrš	57	M	odborný kožní lékař	55	55	0	Olomouc	100514
4156	12	1			František	Otta	22	M	prodavač, specialista	74	74	0	Nový Malín	3697
4321	12	1	MUDr. Mgr.		Ctirad	Musil	43	M	lékař, předseda strany Moravané	83	83	0	Dolní Nětčice	245
4119	12	1	Ing.		Luděk	Šarman	62	M	krizový manažer	752	752	0	Bruntál	15908
4207	12	1	pplk. vz. MUDr.		Marek	Obrtel	54	M	lékař, velitel Národní domobrany	759	759	0	Rokytnice	1527
4030	12	1			Milan	Gybas	49	M	organizátor jízd za svobodu, elektrotechnik	762	762	0	Přerov	42451
4275	12	1			Ladislav	Okleštěk	60	M	poslanec PSP ČR	768	768	0	Prostějov	43381
4345	12	1	Bc.		Antonín	Baudyš	48	M	astrolog, předseda Regionálního centra hnutí CESTA	1007	1007	0	Šumperk	25452
4088	12	1	Ing.		Radim	Fiala	52	M	poslanec, místopředseda hnutí	1114	1114	0	Prostějov	43381
4287	12	1	Bc.		Ivo	Baláš	47	M	ředitel BALUS Innovation	1173	1173	0	Olomouc	100514
4136	12	1			Jan	Rapant	59	M	přípravář stavební akce	1190	1190	0	Olomouc	100514
4188	12	1	Ing.	CSc.	Antonín	Fryč	68	M	podnikatel ve výrobě ocelových konstrukcí	1227	1227	0	Psáry	4154
4106	12	1			Bohumil	Zoufalík	22	M	student vysoké školy	1244	1244	0	Praha	1335084
4158	12	1	Mgr. et Mgr.		Václav	Vévoda	45	M	právník, podnikatel	1245	1245	0	Přemyslovice	1280
4011	12	1			Lucie	Komárková	21	F	anarchokapitalistka	1250	1250	0	Vikýřovice	2342
4024	12	1	Ing.		Marian	Jurečka	40	M	poslanec a zemědělec	1327	1	0	Rokytnice	1527
4171	12	1	Ing.		Tomáš	Müller	55	M	starosta obce Nová Hradečná, krajský zastupitel	1350	166	0	Nová Hradečná	760
4444	13	1	BcA.		Michal	Berg	41	M	spolupředseda Zelených, zastupitel Vsetína	5	5	0	Vsetín	25782
4624	13	1	PaedDr.		Alena	Gajdůšková	67	F	pedagog, poslankyně Parlamentu ČR	7	7	0	Želechovice nad Dřevnicí	1851
4602	13	1	Ing.		Marie	Pěnčíková	41	F	poslankyně Parlamentu České republiky	47	47	0	Morkovice-Slížany	2959
4630	13	1			Dita	Novotná	31	F	vedoucí stáje a instruktor jezdectví, člen iniciativy Morava 1918	55	55	0	Bohdalice-Pavlovice	872
4459	13	1			Petr	Bystřický	43	M	technik, místopředseda PS Moravané	83	83	0	Salaš	414
